"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","531934","534895","528541","520761","513027","501843","492723","466933","445103","420935","400397","384986","367691","354479","342779","343823","343013","350734","360542","367006","370210","378676","382663","381628","381363","382005","381927","385309","388777","392407","392339","386484","379920","372963","362822","355293","347249","337448","331565","328015","326351","326955","327187","327246.84375","327816.84375","329031.5","334933.15625","339021.84375","342064","343980.5","346610.5","347620.5","359638","",
"Azerbaijan","AZE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","473298","","","","","487748","","","487053","503598","517889","529264","544073","576197","600315","689756","710389","702068","691259","700136","693760","668902","635652","607007","568097","537653","512317","496697","490242","481551","482773","491479","498237","517708","551118","580980","607391","635153","645392","651258","645551","638828","627013","603966",
"Burundi","BDI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","181758","179286","136972","126724","129518","129597","131338","142234","145782","159729","175856","206408","258927","301278","343027","385936","452424","532935","568057","596088","633203","631039","651086","","529634","426535","453746","554981","670882","704785","750699","817171","894859","968488","1036859","1324937","1490844","1603116","1739450","1849861","1946371","1980846","2009800","2046794","2072408","2110429","2126173","2170884","2212532","2302280","","","","",
"Belgium","BEL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1021511","1014802","955920","968689","955255","941941","923677","902627","878385","861746","842117","821059","780408","758663","739522","730288","727647","728718","727060","722811","719372","711521","739093","736782","738768","742796","","","762734","773742","771889","767787","761730","747111","738580","732808","732411","733052","731603","731761","736062","744331","764137","773568","782606","797390","814974","821236","823109","823725","818422","815494","814388","",
"Benin","BEN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","155255","173897","197851","203795","244032","259880","279673","293648","338948","357348","379926","404297","428185","429190","444232","444163","462120","470277","482451","418272","490129","534810","599830","624778","677900","722161","784887","843340","872217","932424","1054936","1152798","1233214","1319648","1318140","1356818","","1601146","1719390","1787940","1869379","1987182","2064031","2133330","2238185","2267835","2251555","2223966","2180896","2182724","2279608","2397712","","",
"Burkina Faso","BFA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","105351","112047","117581","124966","133614","141177","149270","159948","170721","184829","201595","223843","250628","276732","313520","351807","390414","411907","443328","472979","504414","530013","562644","600032","650195","700995","","777691","816393","852160","901291","938238","1012150","1139512","1270837","1390571","1561258","1742439","1906279","2047630","2205295","2344031","2466379","2594024","2706803","2873049","3040802","3206060","3233784","3240347","3289736","3174946","2835544","3067940",
"Bangladesh","BGD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","5283787","5040003","6416954","7793907","7747559","8349834","8674004","8227950","8219313","8235237","8240169","8285807","8400000","8808028","8915442","8920292","9115554","9206710","11075476","11285445","11939949","","","","","","","","","","","","","","","16219478","16396870","16312907","16001605","16539389","16987106","","","","","","","17195385","17338100","","17603840","16964967","17162365","16252802","16686625",
"Bulgaria","BGR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","542445","528247","514002","501299","484590","495645","507375","522639","528362","521279","523156","543644","556037","571611","579356","567615","570809","552520","529094","478887","455888","439637","429594","423818","425286","433926","431790","425511","411726","392876","374361","349616","333016","314221","290017","273045","267584","262701","261007","260340","255086","252372","253675","258840","261793","261969","264503","262735","256857","248354","237737","233548","232742","",
"Bahrain","BHR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","38711","39609","40530","41631","43965","44857","45694","46326","47825","48672","48451","49298","50217","53575","55496","57330","58488","60605","63179","64000","66597","66694","68898","70513","72329","72526","72876","74058","76302","77720","79407","81057","81887","82708","83299","89721","","","","","93038","95524","98894","102948","107420","111383","112578","113031","115125","","","114723","117496","122305",
"Bahamas, The","BHS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","32142","32174","30998","31441","31727","31707","31928","32315","32123","31842","32854","32687","32664","30570","32914","32848","","","","32899","32873","33374","33917","33343","33175","34378","33512","33999","33780","","","34153","","36070","37050","35921","37122","36833","34865","33977","36347","34283","31520","31705","32719","30655","","29504","30207","","25216","","23311","26817",
